T	<E/N>	Cv/N
0.15	-2	0.00713085
0.2	-2	0.00284444
0.25	-2	0.00313599
0.3	-2	0.0012642
0.35	-2	0.00104852
0.4	-2	0.00071111
0.45	-2	0.000438956
0.5	-2	0.000732443
0.55	-1.99999	0.000523042
0.6	-1.99999	0.000572821
0.65	-1.99996	0.000985557
0.7	-1.9999	0.00187596
0.75	-1.99981	0.00288644
0.8	-1.99962	0.0050358
0.85	-1.99933	0.00765482
0.9	-1.99883	0.0119942
0.95	-1.99815	0.0168829
1	-1.99714	0.0236006
1.05	-1.99578	0.0317659
1.1	-1.99396	0.0417023
1.15	-1.99153	0.0539597
1.2	-1.98853	0.0678316
1.25	-1.98486	0.0829121
1.3	-1.98023	0.101256
1.35	-1.97472	0.121565
1.4	-1.9681	0.144095
1.45	-1.9603	0.169184
1.5	-1.95107	0.197793
1.55	-1.94056	0.228626
1.6	-1.92821	0.263282
1.65	-1.91398	0.302323
1.7	-1.89789	0.343221
1.75	-1.88014	0.386907
1.8	-1.85843	0.442702
1.85	-1.83537	0.497644
1.9	-1.80815	0.559833
1.95	-1.77904	0.62137
2	-1.74758	0.684309
2.05	-1.71042	0.756258
2.1	-1.67159	0.820945
2.15	-1.62942	0.884335
2.2	-1.58345	0.939559
2.25	-1.53533	0.983839
2.3	-1.48586	1.01664
2.35	-1.43601	1.03195
2.4	-1.38265	1.03729
2.45	-1.33108	1.02913
2.5	-1.28019	1.00478
2.55	-1.23048	0.973307
2.6	-1.18288	0.934609
2.65	-1.1371	0.889411
2.7	-1.09482	0.83779
2.75	-1.05368	0.786544
2.8	-1.01587	0.7397
2.85	-0.97912	0.685976
2.9	-0.947119	0.642272
2.95	-0.915765	0.597432
3	-0.886	0.556076
3.05	-0.860226	0.5184
3.1	-0.835585	0.483663
3.15	-0.810825	0.453717
3.2	-0.789739	0.423629
3.25	-0.769651	0.397572
3.3	-0.748807	0.372684
3.35	-0.730019	0.351834
3.4	-0.714504	0.330964
3.45	-0.69825	0.312947
3.5	-0.682262	0.297812
3.55	-0.667569	0.280825
3.6	-0.656046	0.267191
3.65	-0.642262	0.25424
3.7	-0.630485	0.242236
3.75	-0.618084	0.230804
3.8	-0.606037	0.222341
3.85	-0.597771	0.212557
3.9	-0.586279	0.203039
3.95	-0.57456	0.194902
4	-0.564601	0.187414
4.05	-0.55682	0.180225
4.1	-0.547884	0.172548
4.15	-0.539661	0.167218
4.2	-0.532889	0.161667
4.25	-0.523039	0.15568
4.3	-0.514948	0.150159
4.35	-0.508352	0.145383
4.4	-0.502152	0.140953
4.45	-0.494681	0.13633
4.5	-0.487578	0.13262
4.55	-0.482319	0.128117
4.6	-0.475809	0.125126
4.65	-0.467983	0.120847
4.7	-0.463255	0.117485
4.75	-0.457525	0.114565
4.8	-0.450532	0.111242
4.85	-0.446944	0.108087
4.9	-0.44056	0.10592
4.95	-0.43655	0.103003
5	-0.429624	0.100132

