E	M	N
-60	2	0
-60	4	0
-60	6	0
-60	8	0
-60	10	0
-60	12	0
-60	14	0
-60	16	0
-60	18	0
-60	20	0
-60	22	0
-60	24	0
-60	26	0
-60	28	0
-60	30	0
-60	32	72
-60	34	0
-60	36	0
-56	-36	0
-56	-34	0
-56	-32	558
-56	-30	216
-56	-28	36
-56	-26	0
-56	-24	0
-56	-22	0
-56	-20	0
-56	-18	0
-56	-16	0
-56	-14	0
-56	-12	0
-56	-10	0
-56	-8	0
-56	-6	0
-56	-4	0
-56	-2	0
-56	0	0
-56	2	0
-56	4	0
-56	6	0
-56	8	0
-56	10	0
-56	12	0
-56	14	0
-56	16	0
-56	18	0
-56	20	0
-56	22	0
-56	24	0
-56	26	0
-56	28	36
-56	30	216
-56	32	558
-56	34	0
-56	36	0
-52	-36	0
-52	-34	0
-52	-32	0
-52	-30	2016
-52	-28	648
-52	-26	288
-52	-24	72
-52	-22	0
-52	-20	0
-52	-18	0
-52	-16	0
-52	-14	0
-52	-12	0
-52	-10	0
-52	-8	0
-52	-6	0
-52	-4	0
-52	-2	0
-52	0	0
-52	2	0
-52	4	0
-52	6	0
-52	8	0
-52	10	0
-52	12	0
-52	14	0
-52	16	0
-52	18	0
-52	20	0
-52	22	0
-52	24	72
-52	26	288
-52	28	648
-52	30	2016
-52	32	0
-52	34	0
-52	36	0
-48	-36	0
-48	-34	0
-48	-32	0
-48	-30	4908
-48	-28	7308
-48	-26	2844
-48	-24	1452
-48	-22	792
-48	-20	216
-48	-18	36
-48	-16	0
-48	-14	0
-48	-12	12
-48	-10	0
-48	-8	0
-48	-6	0
-48	-4	0
-48	-2	0
-48	0	12
-48	2	0
-48	4	0
-48	6	0
-48	8	0
-48	10	0
-48	12	12
-48	14	0
-48	16	0
-48	18	36
-48	20	216
-48	22	792
-48	24	1452
-48	26	2844
-48	28	7308
-48	30	4908
-48	32	0
-48	34	0
-48	36	0
-44	-36	0
-44	-34	0
-44	-32	0
-44	-30	0
-44	-28	23688
-44	-26	24480
-44	-24	13968
-44	-22	7632
-44	-20	4968
-44	-18	2736
-44	-16	1224
-44	-14	432
-44	-12	72
-44	-10	144
-44	-8	144
-44	-6	144
-44	-4	144
-44	-2	144
-44	0	0
-44	2	144
-44	4	144
-44	6	144
-44	8	144
-44	10	144
-44	12	72
-44	14	432
-44	16	1224
-44	18	2736
-44	20	4968
-44	22	7632
-44	24	13968
-44	26	24480
-44	28	23688
-44	30	0
-44	32	0
-44	34	0
-44	36	0
-40	-36	0
-40	-34	0
-40	-32	0
-40	-30	0
-40	-28	27225
-40	-26	95544
-40	-24	86544
-40	-22	62136
-40	-20	41634
-40	-18	28368
-40	-16	19764
-40	-14	13464
-40	-12	8820
-40	-10	5184
-40	-8	3456
-40	-6	2808
-40	-4	2700
-40	-2	2664
-40	0	3456
-40	2	2664
-40	4	2700
-40	6	2808
-40	8	3456
-40	10	5184
-40	12	8820
-40	14	13464
-40	16	19764
-40	18	28368
-40	20	41634
-40	22	62136
-40	24	86544
-40	26	95544
-40	28	27225
-40	30	0
-40	32	0
-40	34	0
-40	36	0
-36	-36	0
-36	-34	0
-36	-32	0
-36	-30	0
-36	-28	0
-36	-26	153504
-36	-24	336024
-36	-22	320976
-36	-20	258408
-36	-18	203232
-36	-16	155160
-36	-14	118944
-36	-12	93384
-36	-10	74592
-36	-8	60840
-36	-6	50160
-36	-4	42120
-36	-2	38592
-36	0	34704
-36	2	38592
-36	4	42120
-36	6	50160
-36	8	60840
-36	10	74592
-36	12	93384
-36	14	118944
-36	16	155160
-36	18	203232
-36	20	258408
-36	22	320976
-36	24	336024
-36	26	153504
-36	28	0
-36	30	0
-36	32	0
-36	34	0
-36	36	0
-32	-36	0
-32	-34	0
-32	-32	0
-32	-30	0
-32	-28	0
-32	-26	100332
-32	-24	648828
-32	-22	1118268
-32	-20	1169172
-32	-18	1040544
-32	-16	898164
-32	-14	761616
-32	-12	642528
-32	-10	550836
-32	-8	475092
-32	-6	423540
-32	-4	395568
-32	-2	373176
-32	0	373752
-32	2	373176
-32	4	395568
-32	6	423540
-32	8	475092
-32	10	550836
-32	12	642528
-32	14	761616
-32	16	898164
-32	18	1040544
-32	20	1169172
-32	22	1118268
-32	24	648828
-32	26	100332
-32	28	0
-32	30	0
-32	32	0
-32	34	0
-32	36	0
-28	-36	0
-28	-34	0
-28	-32	0
-28	-30	0
-28	-28	0
-28	-26	0
-28	-24	608112
-28	-22	2282256
-28	-20	3595176
-28	-18	4035024
-28	-16	3950064
-28	-14	3683376
-28	-12	3363048
-28	-10	3051504
-28	-8	2803824
-28	-6	2599344
-28	-4	2425752
-28	-2	2347344
-28	0	2299680
-28	2	2347344
-28	4	2425752
-28	6	2599344
-28	8	2803824
-28	10	3051504
-28	12	3363048
-28	14	3683376
-28	16	3950064
-28	18	4035024
-28	20	3595176
-28	22	2282256
-28	24	608112
-28	26	0
-28	28	0
-28	30	0
-28	32	0
-28	34	0
-28	36	0
-24	-36	0
-24	-34	0
-24	-32	0
-24	-30	0
-24	-28	0
-24	-26	0
-24	-24	252792
-24	-22	2564496
-24	-20	7164882
-24	-18	11037624
-24	-16	13086414
-24	-14	13794192
-24	-12	13788678
-24	-10	13410360
-24	-8	12893472
-24	-6	12408816
-24	-4	12095820
-24	-2	11825928
-24	0	11788038
-24	2	11825928
-24	4	12095820
-24	6	12408816
-24	8	12893472
-24	10	13410360
-24	12	13788678
-24	14	13794192
-24	16	13086414
-24	18	11037624
-24	20	7164882
-24	22	2564496
-24	24	252792
-24	26	0
-24	28	0
-24	30	0
-24	32	0
-24	34	0
-24	36	0
-20	-36	0
-20	-34	0
-20	-32	0
-20	-30	0
-20	-28	0
-20	-26	0
-20	-24	0
-20	-22	1548144
-20	-20	8636976
-20	-18	20542608
-20	-16	31673808
-20	-14	39356208
-20	-12	43856208
-20	-10	46237392
-20	-8	47208816
-20	-6	47457792
-20	-4	47250864
-20	-2	47161728
-20	0	47010240
-20	2	47161728
-20	4	47250864
-20	6	47457792
-20	8	47208816
-20	10	46237392
-20	12	43856208
-20	14	39356208
-20	16	31673808
-20	18	20542608
-20	20	8636976
-20	22	1548144
-20	24	0
-20	26	0
-20	28	0
-20	30	0
-20	32	0
-20	34	0
-20	36	0
-16	-36	0
-16	-34	0
-16	-32	0
-16	-30	0
-16	-28	0
-16	-26	0
-16	-24	0
-16	-22	442980
-16	-20	6240528
-16	-18	24871536
-16	-16	53905896
-16	-14	83537208
-16	-12	107681508
-16	-10	125152164
-16	-8	137160000
-16	-6	144748116
-16	-4	149403996
-16	-2	151680312
-16	0	152525196
-16	2	151680312
-16	4	149403996
-16	6	144748116
-16	8	137160000
-16	10	125152164
-16	12	107681508
-16	14	83537208
-16	16	53905896
-16	18	24871536
-16	20	6240528
-16	22	442980
-16	24	0
-16	26	0
-16	28	0
-16	30	0
-16	32	0
-16	34	0
-16	36	0
-12	-36	0
-12	-34	0
-12	-32	0
-12	-30	0
-12	-28	0
-12	-26	0
-12	-24	0
-12	-22	0
-12	-20	2601864
-12	-18	19324416
-12	-16	62584632
-12	-14	127874304
-12	-12	198847464
-12	-10	262657728
-12	-8	313764192
-12	-6	351857376
-12	-4	377578800
-12	-2	392376672
-12	0	397078512
-12	2	392376672
-12	4	377578800
-12	6	351857376
-12	8	313764192
-12	10	262657728
-12	12	198847464
-12	14	127874304
-12	16	62584632
-12	18	19324416
-12	20	2601864
-12	22	0
-12	24	0
-12	26	0
-12	28	0
-12	30	0
-12	32	0
-12	34	0
-12	36	0
-8	-36	0
-8	-34	0
-8	-32	0
-8	-30	0
-8	-28	0
-8	-26	0
-8	-24	0
-8	-22	0
-8	-20	546516
-8	-18	9645120
-8	-16	49293576
-8	-14	138281976
-8	-12	269648586
-8	-10	417699720
-8	-8	557542728
-8	-6	673475688
-8	-4	758452707
-8	-2	810164736
-8	0	827402400
-8	2	810164736
-8	4	758452707
-8	6	673475688
-8	8	557542728
-8	10	417699720
-8	12	269648586
-8	14	138281976
-8	16	49293576
-8	18	9645120
-8	20	546516
-8	22	0
-8	24	0
-8	26	0
-8	28	0
-8	30	0
-8	32	0
-8	34	0
-8	36	0
-4	-36	0
-4	-34	0
-4	-32	0
-4	-30	0
-4	-28	0
-4	-26	0
-4	-24	0
-4	-22	0
-4	-20	0
-4	-18	2931120
-4	-16	26428248
-4	-14	105570288
-4	-12	265556736
-4	-10	494848800
-4	-8	753788160
-4	-6	997994592
-4	-4	1193279472
-4	-2	1317182688
-4	0	1359828000
-4	2	1317182688
-4	4	1193279472
-4	6	997994592
-4	8	753788160
-4	10	494848800
-4	12	265556736
-4	14	105570288
-4	16	26428248
-4	18	2931120
-4	20	0
-4	22	0
-4	24	0
-4	26	0
-4	28	0
-4	30	0
-4	32	0
-4	34	0
-4	36	0
0	-36	0
0	-34	0
0	-32	0
0	-30	0
0	-28	0
0	-26	0
0	-24	0
0	-22	0
0	-20	0
0	-18	480916
0	-16	9647748
0	-14	57644748
0	-12	190654740
0	-10	435314160
0	-8	769393656
0	-6	1131880752
0	-4	1450906884
0	-2	1668054600
0	0	1744323016
0	2	1668054600
0	4	1450906884
0	6	1131880752
0	8	769393656
0	10	435314160
0	12	190654740
0	14	57644748
0	16	9647748
0	18	480916
0	20	0
0	22	0
0	24	0
0	26	0
0	28	0
0	30	0
0	32	0
0	34	0
0	36	0
4	-36	0
4	-34	0
4	-32	0
4	-30	0
4	-28	0
4	-26	0
4	-24	0
4	-22	0
4	-20	0
4	-18	0
4	-16	2233584
4	-14	22527648
4	-12	101625120
4	-10	287356320
4	-8	594585792
4	-6	979974720
4	-4	1356521904
4	-2	1628668800
4	0	1728000432
4	2	1628668800
4	4	1356521904
4	6	979974720
4	8	594585792
4	10	287356320
4	12	101625120
4	14	22527648
4	16	2233584
4	18	0
4	20	0
4	22	0
4	24	0
4	26	0
4	28	0
4	30	0
4	32	0
4	34	0
4	36	0
8	-36	0
8	-34	0
8	-32	0
8	-30	0
8	-28	0
8	-26	0
8	-24	0
8	-22	0
8	-20	0
8	-18	0
8	-16	308574
8	-14	6331896
8	-12	40540428
8	-10	145123416
8	-8	354531024
8	-6	657496440
8	-4	985754664
8	-2	1240315488
8	0	1336101246
8	2	1240315488
8	4	985754664
8	6	657496440
8	8	354531024
8	10	145123416
8	12	40540428
8	14	6331896
8	16	308574
8	18	0
8	20	0
8	22	0
8	24	0
8	26	0
8	28	0
8	30	0
8	32	0
8	34	0
8	36	0
12	-36	0
12	-34	0
12	-32	0
12	-30	0
12	-28	0
12	-26	0
12	-24	0
12	-22	0
12	-20	0
12	-18	0
12	-16	0
12	-14	1158048
12	-12	12133104
12	-10	56807136
12	-8	165822984
12	-6	348192192
12	-4	566862840
12	-2	747933120
12	0	818194560
12	2	747933120
12	4	566862840
12	6	348192192
12	8	165822984
12	10	56807136
12	12	12133104
12	14	1158048
12	16	0
12	18	0
12	20	0
12	22	0
12	24	0
12	26	0
12	28	0
12	30	0
12	32	0
12	34	0
12	36	0
16	-36	0
16	-34	0
16	-32	0
16	-30	0
16	-28	0
16	-26	0
16	-24	0
16	-22	0
16	-20	0
16	-18	0
16	-16	0
16	-14	150948
16	-12	2765664
16	-10	17364096
16	-8	61849620
16	-6	148241772
16	-4	263218752
16	-2	364675500
16	0	405640980
16	2	364675500
16	4	263218752
16	6	148241772
16	8	61849620
16	10	17364096
16	12	2765664
16	14	150948
16	16	0
16	18	0
16	20	0
16	22	0
16	24	0
16	26	0
16	28	0
16	30	0
16	32	0
16	34	0
16	36	0
20	-36	0
20	-34	0
20	-32	0
20	-30	0
20	-28	0
20	-26	0
20	-24	0
20	-22	0
20	-20	0
20	-18	0
20	-16	0
20	-14	0
20	-12	410832
20	-10	4192704
20	-8	18671616
20	-6	51576336
20	-4	100316088
20	-2	146534832
20	0	165466512
20	2	146534832
20	4	100316088
20	6	51576336
20	8	18671616
20	10	4192704
20	12	410832
20	14	0
20	16	0
20	18	0
20	20	0
20	22	0
20	24	0
20	26	0
20	28	0
20	30	0
20	32	0
20	34	0
20	36	0
24	-36	0
24	-34	0
24	-32	0
24	-30	0
24	-28	0
24	-26	0
24	-24	0
24	-22	0
24	-20	0
24	-18	0
24	-16	0
24	-14	0
24	-12	60768
24	-10	820224
24	-8	4592088
24	-6	14895720
24	-4	32060817
24	-2	49325472
24	0	56924808
24	2	49325472
24	4	32060817
24	6	14895720
24	8	4592088
24	10	820224
24	12	60768
24	14	0
24	16	0
24	18	0
24	20	0
24	22	0
24	24	0
24	26	0
24	28	0
24	30	0
24	32	0
24	34	0
24	36	0
28	-36	0
28	-34	0
28	-32	0
28	-30	0
28	-28	0
28	-26	0
28	-24	0
28	-22	0
28	-20	0
28	-18	0
28	-16	0
28	-14	0
28	-12	0
28	-10	101520
28	-8	951552
28	-6	3683376
28	-4	8660952
28	-2	14213952
28	0	16566624
28	2	14213952
28	4	8660952
28	6	3683376
28	8	951552
28	10	101520
28	12	0
28	14	0
28	16	0
28	18	0
28	20	0
28	22	0
28	24	0
28	26	0
28	28	0
28	30	0
28	32	0
28	34	0
28	36	0
32	-36	0
32	-34	0
32	-32	0
32	-30	0
32	-28	0
32	-26	0
32	-24	0
32	-22	0
32	-20	0
32	-18	0
32	-16	0
32	-14	0
32	-12	0
32	-10	21600
32	-8	173304
32	-6	757296
32	-4	2091492
32	-2	3589416
32	0	4302864
32	2	3589416
32	4	2091492
32	6	757296
32	8	173304
32	10	21600
32	12	0
32	14	0
32	16	0
32	18	0
32	20	0
32	22	0
32	24	0
32	26	0
32	28	0
32	30	0
32	32	0
32	34	0
32	36	0
36	-36	0
36	-34	0
36	-32	0
36	-30	0
36	-28	0
36	-26	0
36	-24	0
36	-22	0
36	-20	0
36	-18	0
36	-16	0
36	-14	0
36	-12	0
36	-10	0
36	-8	18144
36	-6	153456
36	-4	443016
36	-2	806544
36	0	1004256
36	2	806544
36	4	443016
36	6	153456
36	8	18144
36	10	0
36	12	0
36	14	0
36	16	0
36	18	0
36	20	0
36	22	0
36	24	0
36	26	0
36	28	0
36	30	0
36	32	0
36	34	0
36	36	0
40	-36	0
40	-34	0
40	-32	0
40	-30	0
40	-28	0
40	-26	0
40	-24	0
40	-22	0
40	-20	0
40	-18	0
40	-16	0
40	-14	0
40	-12	0
40	-10	0
40	-8	6696
40	-6	28152
40	-4	82404
40	-2	182016
40	0	205542
40	2	182016
40	4	82404
40	6	28152
40	8	6696
40	10	0
40	12	0
40	14	0
40	16	0
40	18	0
40	20	0
40	22	0
40	24	0
40	26	0
40	28	0
40	30	0
40	32	0
40	34	0
40	36	0
44	-36	0
44	-34	0
44	-32	0
44	-30	0
44	-28	0
44	-26	0
44	-24	0
44	-22	0
44	-20	0
44	-18	0
44	-16	0
44	-14	0
44	-12	0
44	-10	0
44	-8	0
44	-6	2304
44	-4	20448
44	-2	33408
44	0	47520
44	2	33408
44	4	20448
44	6	2304
44	8	0
44	10	0
44	12	0
44	14	0
44	16	0
44	18	0
44	20	0
44	22	0
44	24	0
44	26	0
44	28	0
44	30	0
44	32	0
44	34	0
44	36	0
48	-36	0
48	-34	0
48	-32	0
48	-30	0
48	-28	0
48	-26	0
48	-24	0
48	-22	0
48	-20	0
48	-18	0
48	-16	0
48	-14	0
48	-12	0
48	-10	0
48	-8	0
48	-6	1668
48	-4	3456
48	-2	6912
48	0	11076
48	2	6912
48	4	3456
48	6	1668
48	8	0
48	10	0
48	12	0
48	14	0
48	16	0
48	18	0
48	20	0
48	22	0
48	24	0
48	26	0
48	28	0
48	30	0
48	32	0
48	34	0
48	36	0
52	-36	0
52	-34	0
52	-32	0
52	-30	0
52	-28	0
52	-26	0
52	-24	0
52	-22	0
52	-20	0
52	-18	0
52	-16	0
52	-14	0
52	-12	0
52	-10	0
52	-8	0
52	-6	0
52	-4	144
52	-2	2304
52	0	1152
52	2	2304
52	4	144
52	6	0
52	8	0
52	10	0
52	12	0
52	14	0
52	16	0
52	18	0
52	20	0
52	22	0
52	24	0
52	26	0
52	28	0
52	30	0
52	32	0
52	34	0
52	36	0
56	-36	0
56	-34	0
56	-32	0
56	-30	0
56	-28	0
56	-26	0
56	-24	0
56	-22	0
56	-20	0
56	-18	0
56	-16	0
56	-14	0
56	-12	0
56	-10	0
56	-8	0
56	-6	0
56	-4	306
56	-2	216
56	0	576
56	2	216
56	4	306
56	6	0
56	8	0
56	10	0
56	12	0
56	14	0
56	16	0
56	18	0
56	20	0
56	22	0
56	24	0
56	26	0
56	28	0
56	30	0
56	32	0
56	34	0
56	36	0
60	-36	0
60	-34	0
60	-32	0
60	-30	0
60	-28	0
60	-26	0
60	-24	0
60	-22	0
60	-20	0
60	-18	0
60	-16	0
60	-14	0
60	-12	0
60	-10	0
60	-8	0
60	-6	0
60	-4	0
60	-2	0
60	0	144
60	2	0
60	4	0
60	6	0
60	8	0
60	10	0
60	12	0
60	14	0
60	16	0
60	18	0
60	20	0
60	22	0
60	24	0
60	26	0
60	28	0
60	30	0
60	32	0
60	34	0
60	36	0
64	-36	0
64	-34	0
64	-32	0
64	-30	0
64	-28	0
64	-26	0
64	-24	0
64	-22	0
64	-20	0
64	-18	0
64	-16	0
64	-14	0
64	-12	0
64	-10	0
64	-8	0
64	-6	0
64	-4	0
64	-2	36
64	0	0
64	2	36
64	4	0
64	6	0
64	8	0
64	10	0
64	12	0
64	14	0
64	16	0
64	18	0
64	20	0
64	22	0
64	24	0
64	26	0
64	28	0
64	30	0
64	32	0
64	34	0
64	36	0
68	-36	0
68	-34	0
68	-32	0
68	-30	0
68	-28	0
68	-26	0
68	-24	0
68	-22	0
68	-20	0
68	-18	0
68	-16	0
68	-14	0
68	-12	0
68	-10	0
68	-8	0
68	-6	0
68	-4	0
68	-2	0
68	0	0
68	2	0
68	4	0
68	6	0
68	8	0
68	10	0
68	12	0
68	14	0
68	16	0
68	18	0
68	20	0
68	22	0
68	24	0
68	26	0
68	28	0
68	30	0
68	32	0
68	34	0
68	36	0
72	-36	0
72	-34	0
