2x2
E\M	-4	-2	0	2	4
-8	1	0	0	0	1
-4	0	0	0	0	0
0	0	4	4	4	0
4	0	0	0	0	0
8	0	0	2	0	0

4x4
E\M	-16	-14	-12	-10	-8	-6	-4	-2	0	2	4	6	8	10	12	14	16
16	0	0	0	0	0	0	0	0	0	0	0	150948	2765664	17364096	61849620	148241772	263218752	364675500	405640980	364675500	263218752	148241772	61849620	17364096	2765664	150948	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	410832	4192704	18671616	51576336	100316088	146534832	165466512	146534832	100316088	51576336	18671616	4192704	410832	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0	60768	820224	4592088	14895720	32060817	49325472	56924808	49325472	32060817	14895720	4592088	820224	60768	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0	0	0	0	101520	951552	3683376	8660952	14213952	16566624	14213952	8660952	3683376	951552	101520	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	0	0	0	21600	173304	757296	2091492	3589416	4302864	3589416	2091492	757296	173304	21600	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18144	153456	443016	806544	1004256	806544	443016	153456	18144	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6696	28152	82404	182016	205542	182016	82404	28152	6696	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2304	20448	33408	47520	33408	20448	2304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1668	3456	6912	11076	6912	3456	1668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	2304	1152	2304	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	216	576	216	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

